                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.5172,                 1.1259,                0.24668,                 1.0545,                 1.8733,                0.73129,                    0.5,                0.71593,                0.30074,                0.67487,                0.45833,                0.60345,                0.44594,                 1.9317,                 1.2214,                0.23157,                  1.516,                 2.6746,              0.0014786,              0.0014786,              0.0014786
                     81,                 1.4429,                0.93555,                0.25685,                 1.0003,                 1.8531,                0.92922,                0.41667,                0.69205,                0.33503,                0.60807,                0.45833,                0.60953,                 0.4585,                 1.8752,                 1.2007,                0.21669,                 1.4898,                 2.6538,               0.001472,               0.001472,               0.001472
                     82,                 1.5571,                0.97324,                0.24314,                  1.092,                 1.9103,                0.87711,                0.91667,                0.91831,                0.43631,                0.82668,                 0.7951,                 0.8537,                0.67768,                 1.6675,                 1.0845,                0.14357,                 1.2889,                 2.5172,              0.0014654,              0.0014654,              0.0014654
                     83,                 1.4729,                 1.0248,                0.23519,                 1.1069,                 1.9611,                0.95748,                0.93868,                0.94995,                0.48326,                0.91496,                0.89701,                0.88344,                0.67558,                 1.5297,                 1.1906,                0.12154,                 1.2012,                  2.362,              0.0014588,              0.0014588,              0.0014588
                     84,                 1.4321,                 1.2804,                0.24033,                 1.1509,                 1.8866,                 0.9293,                0.95833,                0.95365,                0.58382,                 0.9293,                0.95833,                0.92012,                0.62641,                 1.1211,                 1.1951,                0.05066,                 1.1112,                 1.9773,              0.0014522,              0.0014522,              0.0014522
                     85,                 1.3415,                 1.1281,                 0.2494,                  1.053,                 1.7983,                0.97928,                      1,                  0.995,                 0.5998,                0.93848,                0.95833,                0.93554,                0.79527,                 1.1522,                0.94179,                0.03315,                 1.0866,                 2.0064,              0.0014456,              0.0014456,              0.0014456
                     86,                 1.3528,                 1.0729,                0.26604,                 1.0894,                 1.7337,                0.98817,                      1,                  0.995,                0.59501,                  0.947,                0.95833,                0.92561,                0.82038,                 1.2099,                0.80191,                0.02036,                 1.1182,                 2.0596,               0.001439,               0.001439,               0.001439
                     87,                 1.3964,                 1.0654,                0.23411,                 1.0654,                 1.7961,                0.94989,                      1,                  0.995,                0.58421,                0.86834,                0.91667,                0.90803,                0.80556,                 1.2549,                0.83565,                0.01283,                 1.1335,                 2.0831,              0.0014324,              0.0014324,              0.0014324
                     88,                 1.2947,                  1.091,                0.27212,                  1.048,                 1.7854,                0.95478,                0.88003,                0.95702,                0.53968,                 0.9526,                0.83762,                0.96679,                0.79666,                 1.2496,                0.85864,                0.00675,                 1.4394,                 2.0296,              0.0014258,              0.0014258,              0.0014258
                     89,                 1.3662,                0.81309,                0.23148,                 1.0799,                 1.7289,                0.80771,                0.95833,                0.96184,                0.57446,                0.95142,                0.81648,                0.91544,                 0.7952,                 1.2671,                0.84455,                0.00859,                 1.3178,                 2.0424,              0.0014192,              0.0014192,              0.0014192
